GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
"1600000US1724582","Evanston city, Illinois","27517","1737","15838","1351","11679","1439"
"1600000US1738570","Joliet city, Illinois","46775","1963","31017","1885","15758","1756"
"1600000US1751622","Naperville city, Illinois","51766","1881","39960","1593","11806","1442"
"1600000US1757225","Palatine village, Illinois","26728","1529","17435","1857","9293","1219"
"1600000US1759000","Peoria city, Illinois","45533","1806","24401","1757","21132","1917"
"1600000US1765000","Rockford city, Illinois","60696","1936","33352","2361","27344","2054"
"1600000US1768003","Schaumburg village, Illinois","28802","1680","16460","1656","12342","1314"
"1600000US1770122","Skokie village, Illinois","22649","1535","15922","1378","6727","1570"
"1600000US1772000","Springfield city, Illinois","49689","1744","29782","1742","19907","1798"
"1600000US1779293","Waukegan city, Illinois","28317","2032","13279","1457","15038","1948"
"1600000US1805860","Bloomington city, Indiana","32414","1665","11296","1374","21118","1793"
"1600000US1810342","Carmel city, Indiana","36421","1402","27573","1562","8848","1064"
"1600000US1822000","Evansville city, Indiana","50976","2088","27451","1897","23525","2179"
"1600000US1823278","Fishers city, Indiana","33921","1418","25436","2240","8485","1585"
"1600000US1825000","Fort Wayne city, Indiana","105457","1955","65702","2276","39755","2145"
"1600000US1827000","Gary city, Indiana","28086","1668","14115","1619","13971","1307"
"1600000US1831000","Hammond city, Indiana","27967","1709","17414","1709","10553","1561"
"1600000US1836003","Indianapolis city (balance), Indiana","339536","4276","179724","5177","159812","5325"
"1600000US1840788","Lafayette city, Indiana","30803","1521","14362","1361","16441","1522"
"1600000US1851876","Muncie city, Indiana","27203","1927","13580","1273","13623","1582"
"1600000US1854180","Noblesville city, Indiana","24239","1629","17311","1254","6928","1466"
"1600000US1871000","South Bend city, Indiana","40315","1934","23355","1716","16960","1452"
"1600000US1901855","Ames city, Iowa","25470","1386","11256","1032","14214","1460"
"1600000US1902305","Ankeny city, Iowa","25445","1747","18871","1668","6574","1408"
"1600000US1912000","Cedar Rapids city, Iowa","54234","1853","37762","1716","16472","1699"
"1600000US1919000","Davenport city, Iowa","38994","1712","23600","1647","15394","1568"
"1600000US1921000","Des Moines city, Iowa","83972","2433","51173","2065","32799","2435"
"1600000US1938595","Iowa City city, Iowa","31833","1699","14920","1221","16913","1809"
"1600000US1973335","Sioux City city, Iowa","31318","1138","19687","1391","11631","1331"
"1600000US1982425","Waterloo city, Iowa","29104","1201","17621","1223","11483","1078"
"1600000US1983910","West Des Moines city, Iowa","29398","1853","17489","1658","11909","1724"
"1600000US2036000","Kansas City city, Kansas","56587","1519","30516","1898","26071","2076"
"1600000US2038900","Lawrence city, Kansas","40407","1185","18830","1824","21577","1787"
"1600000US2052575","Olathe city, Kansas","48543","1609","34389","1779","14154","1507"
"1600000US2053775","Overland Park city, Kansas","79571","2144","50124","1934","29447","2091"
"1600000US2064500","Shawnee city, Kansas","23817","1322","17782","1086","6035","1032"
"1600000US2071000","Topeka city, Kansas","54697","1845","31281","1924","23416","1915"
"1600000US2079000","Wichita city, Kansas","154512","2950","92355","2963","62157","3044"
"1600000US2108902","Bowling Green city, Kentucky","25223","1383","10170","1270","15053","1463"
"1600000US2146027","Lexington-Fayette urban county, Kentucky","131067","2335","73100","2767","57967","3165"
"1600000US2148006","Louisville/Jefferson County metro government (balance), Kentucky","247339","3304","148289","4764","99050","4710"
"1600000US2205000","Baton Rouge city, Louisiana","85723","3303","42873","2943","42850","2753"
"1600000US2208920","Bossier City city, Louisiana","27128","1775","14148","1463","12980","1513"
"1600000US2239475","Kenner city, Louisiana","26412","1781","14913","1714","11499","1424"
"1600000US2240735","Lafayette city, Louisiana","51596","2316","29008","2193","22588","2347"
"1600000US2241155","Lake Charles city, Louisiana","32981","1842","15162","1756","17819","1984"
"1600000US2250115","Metairie CDP, Louisiana","57822","2907","34917","2092","22905","2578"
"1600000US2255000","New Orleans city, Louisiana","155104","2460","74982","2104","80122","2611"
"1600000US2270000","Shreveport city, Louisiana","74650","2150","38538","2171","36112","2378"
"1600000US2360545","Portland city, Maine","31193","1466","14131","1184","17062","1608"
"1600000US2404000","Baltimore city, Maryland","237204","3359","112621","3474","124583","4257"
"1600000US2419125","Columbia CDP, Maryland","41195","1782","25948","1926","15247","2276"
"1600000US2426000","Ellicott City CDP, Maryland","26732","1726","18788","1442","7944","1366"
"1600000US2430325","Frederick city, Maryland","28558","1439","16296","1412","12262","1731"
"1600000US2431175","Gaithersburg city, Maryland","25404","1666","11985","1332","13419","1548"
"1600000US2432025","Germantown CDP, Maryland","28989","1909","18647","1706","10342","1697"
"1600000US2432650","Glen Burnie CDP, Maryland","26808","2021","16312","1526","10496","1504"
"1600000US2467675","Rockville city, Maryland","25870","1691","14898","1228","10972","1444"
"1600000US2472450","Silver Spring CDP, Maryland","32138","1901","12636","1153","19502","1908"
"1600000US2481175","Waldorf CDP, Maryland","28490","1670","18909","1516","9581","1463"
"1600000US2507000","Boston city, Massachusetts","274674","3813","93736","3767","180938","3951"
"1600000US2509000","Brockton city, Massachusetts","31852","1654","18190","1520","13662","1845"
"1600000US2511000","Cambridge city, Massachusetts","46383","2061","16196","1667","30187","1744"
"1600000US2523000","Fall River city, Massachusetts","38136","1949","13332","1358","24804","2059"
"1600000US2524960","Framingham city, Massachusetts","28470","1670","15967","1296","12503","1533"
"1600000US2534550","Lawrence city, Massachusetts","25992","1717","6351","972","19641","1605"
"1600000US2537000","Lowell city, Massachusetts","37902","2641","15043","2090","22859","2320"
